what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505892522449
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505892524648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892526150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1505892526169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505892526435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892529740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505892530822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505892531109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505892531331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892531611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892531716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505892534321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505892534914
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1505892537896
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505892540878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892550171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892554009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892564230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892571714
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505892571721
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505892572630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892640690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892644243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892690051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892690843
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace",1505892690851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892691511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1505892691528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892693309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892694855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892694952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892697466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892727719
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1505892732852
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505892736548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505892741680
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505892750717
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505892750864
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505892751384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505892751506
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505892751753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505892753116
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1505892760069
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1505892762673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892763368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892764415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892771684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892811841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892819060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892923435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892930757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892931607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505892932605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505894677216
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505894677233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505894678919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505895864659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505895866704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505895867967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896068485
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1505896073676
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1505896073728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896079394
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896079545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896079560
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896093248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896094406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896100951
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505896105810
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896106748
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109180
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109225
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109233
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109250
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109263
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109268
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896109277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896117709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896121182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896142188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896143743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896158266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896190357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896193310
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1505896197162
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896199363
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896199394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896202106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896204247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896214306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896218405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896220070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505896221747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896222671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896224535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896225998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505896227210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505896234077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505896234860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505896235826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896236789
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505896237524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896239271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896240888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896246495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896246586
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1505896249964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505896250668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896263705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896281301
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1505896319459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896319910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896320382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896331722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896333817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896347675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896365364
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1505896379021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896391086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896397389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896405252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896408414
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1505896412691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896413135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896414095
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1505896416779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896417206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896418167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896418638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896419850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896421462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896435111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896439488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896441222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896444161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896462574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896468683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896470646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896472229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896474670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896475831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1505896487352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896505800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896510288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896527621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896534121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896557125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896680395
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1505896685948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505896690366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505896692825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505896703675
